t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
55,0.11750000000000002,0.8825,39.90935938116969,30,127,4.233333333333333,0.02063718070202454,0.018794696876768664,0.0,1M,diversity_optimal
56,0.11800000000000002,0.882,39.69125448463563,30,127,4.233333333333333,0.020750582765532315,0.018897974424201276,0.0,1M,diversity_optimal
57,0.11850000000000002,0.8815,39.473149588101464,31,127,4.096774193548387,0.02086523801230959,0.02011948184582187,0.0,1M,diversity_optimal
58,0.11900000000000002,0.881,39.4053205170746,31,127,4.096774193548387,0.0194070740139731,0.018478900883669075,0.0,1M,diversity_optimal
59,0.11950000000000002,0.8805,39.364878161911186,31,127,4.096774193548387,0.02711541353497093,0.02327121291214758,0.0,1M,diversity_optimal
60,0.12000000000000002,0.88,39.32443580674779,31,127,4.096774193548387,0.035387297151145754,0.03126529846979477,0.0,1M,diversity_optimal
61,0.12050000000000002,0.8795,39.28399345158438,31,127,4.096774193548387,0.042308434335162654,0.038866081121911755,0.0,1M,diversity_optimal
62,0.12100000000000002,0.879,39.24355109642098,31,127,4.096774193548387,0.042352035198998494,0.03890613447622416,0.0,1M,diversity_optimal
63,0.12150000000000002,0.8785,39.203108741257566,31,127,4.096774193548387,0.042395726021089056,0.03894627046949214,0.0,1M,diversity_optimal
64,0.12200000000000003,0.878,39.16266638609417,31,127,4.096774193548387,0.04243950708012756,0.038986489357733516,,1M,diversity_optimal
0,0.1,0.9,13.41245048537085,26,129,4.961538461538462,,,0.0,3M,pooled_trailing
1,0.1005,0.8995,13.237997217534742,26,129,4.961538461538462,,,1.0,3M,pooled_trailing
2,0.096,0.904,15.322089465804478,25,129,5.16,,,1.0,3M,pooled_trailing
3,0.0915,0.9085,16.08127555463037,24,129,5.375,,,1.0,3M,pooled_trailing
4,0.087,0.913,16.637389575751516,23,129,5.608695652173913,,,1.0,3M,pooled_trailing
5,0.08249999999999999,0.9175,19.101089388364837,21,129,6.142857142857143,,,0.0,3M,pooled_trailing
6,0.08299999999999999,0.917,18.904028896667796,22,129,5.863636363636363,4.651572911432287,4.640604723499708,0.0,3M,pooled_trailing
7,0.08349999999999999,0.9165,18.618941818938506,22,129,5.863636363636363,4.7227962570477775,4.711660127850002,0.0,3M,pooled_trailing
8,0.08399999999999999,0.916,18.333153334149326,22,129,5.863636363636363,4.796418113673803,4.778659508468756,0.0,3M,pooled_trailing
9,0.08449999999999999,0.9155,18.04736484936002,22,129,5.863636363636363,4.836292001450768,3.548262560203901,0.0,3M,pooled_trailing
10,0.08499999999999999,0.915,17.76157636457077,22,129,5.863636363636363,2.296600870618181,1.4110797674184565,0.0,3M,pooled_trailing
11,0.08549999999999999,0.9145,17.475787879781464,22,129,5.863636363636363,0.5341533333316903,0.31985140297107756,0.0,3M,pooled_trailing
12,0.086,0.914,17.189999394992284,22,129,5.863636363636363,0.10730426172677092,0.10697671741955696,0.0,3M,pooled_trailing
13,0.0865,0.9135,16.904210910202973,22,129,5.863636363636363,0.10911838499660187,0.108785303111103,0.0,3M,pooled_trailing
14,0.087,0.913,16.637389575751516,23,129,5.608695652173913,0.1108683658433818,0.11052994217317771,0.0,3M,pooled_trailing
